ID;Rodzic;Poziom;Typ;Nazwa;Część;Część w budźecie księgowym;Środki europejskie
0015-0005-0004-0004;0015-0005-0004;d;Dysponent;Ministerstwo Infrastruktury;18;;0
0015-0005-0004-0005;0015-0005-0004;d;Dysponent;Ministerstwo Finansów;19;;0
0015-0005-0004-0006;0015-0005-0004;d;Dysponent;Ministerstwo Gospodarki;20;;0
0015-0005-0004-0007;0015-0005-0004;d;Dysponent;Ministerstwo Infrastruktury;21;;0
0015-0005-0004-0008;0015-0005-0004;d;Dysponent;Ministerstwo Środowiska;22;;0
0015-0005-0004-0009;0015-0005-0004;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;0
0015-0005-0004-0010;0015-0005-0004;d;Dysponent;Ministerstwo Sportu i Turystyki;25;;0
0015-0005-0004-0011;0015-0005-0004;d;Dysponent;Ministerstwo Infrastruktury;26;;0
0015-0005-0004-0012;0015-0005-0004;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;27;;0
0015-0005-0004-0013;0015-0005-0004;d;Dysponent;Ministerstwo Nauki i Szkolnictwa Wyższego;28;;0
0015-0005-0004-0014;0015-0005-0004;d;Dysponent;Ministerstwo Obrony Narodowej;29;;0
0015-0005-0004-0015;0015-0005-0004;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;0
0015-0005-0004-0016;0015-0005-0004;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;31;;0
0015-0005-0004-0017;0015-0005-0004;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;32;;0
0015-0005-0004-0018;0015-0005-0004;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;33;;0
0015-0005-0004-0019;0015-0005-0004;d;Dysponent;Ministerstwo Rozwoju Regionalnego;34;;0
0015-0005-0004-0020;0015-0005-0004;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;35;;0
0015-0005-0004-0021;0015-0005-0004;d;Dysponent;Ministerstwo Skarbu Państwa;36;;0
0015-0005-0004-0022;0015-0005-0004;d;Dysponent;Ministerstwo Sprawiedliwości;37;;0
0015-0005-0004-0023;0015-0005-0004;d;Dysponent;Ministerstwo Nauki i Szkolnictwa Wyższego;38;;0
0015-0005-0004-0024;0015-0005-0004;d;Dysponent;Ministerstwo Infrastruktury;39;;0
0015-0005-0004-0025;0015-0005-0004;d;Dysponent;Ministerstwo Sportu i Turystyki;40;;0
0015-0005-0004-0026;0015-0005-0004;d;Dysponent;Ministerstwo Środowiska;41;;0
0015-0005-0004-0027;0015-0005-0004;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0015-0005-0004-0028;0015-0005-0004;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;44;;0
0015-0005-0004-0029;0015-0005-0004;d;Dysponent;Ministerstwo Spraw Zagranicznych;45;;0
0015-0005-0004-0030;0015-0005-0004;d;Dysponent;Ministerstwo Zdrowia;46;;0
0015-0005-0004-0031;0015-0005-0004;d;Dysponent;Urząd Ochrony Konkurencji i Konsumentów;53;;0
0015-0005-0004-0032;0015-0005-0004;d;Dysponent;Agencja Bezpieczeństwa Wewnętrznego;57;;0
0015-0005-0004-0033;0015-0005-0004;d;Dysponent;Główny Urząd Statystyczny;58;;0
0015-0005-0004-0034;0015-0005-0004;d;Dysponent;Wyższy Urząd Górniczy;60;;0
0015-0005-0004-0035;0015-0005-0004;d;Dysponent;Urząd Patentowy RP;61;;0
0015-0005-0004-0036;0015-0005-0004;d;Dysponent;Ministerstwo Rolnictwa i Rozwoju Wsi;62;;0
0015-0005-0004-0037;0015-0005-0004;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;63;;0
0015-0005-0004-0038;0015-0005-0004;d;Dysponent;Państwowa Agencja Atomistyki;68;;0
0015-0005-0004-0039;0015-0005-0004;d;Dysponent;Wojewodowie;85;;0
0016;;a;FUNKCJA 16;SPRAWY OBYWATELSKIE;;;529225
0016-0001;0016;b;Zadanie 16.1;Obsługa administracyjna obywatela;;;89518
0016-0001-0001;0016-0001;c;Podzadanie 16.1.1;Ewidencja ludności;;;0
0016-0001-0001-0001;0016-0001-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0016-0001-0001-0002;0016-0001-0001;d;Dysponent;Wojewodowie;85;;0
0016-0001-0002;0016-0001;c;Podzadanie 16.1.2;Prowadzenie spraw związanych z funkcjonowaniem administracji publicznej;;;89518
0016-0001-0002-0001;0016-0001-0002;d;Dysponent;Kancelaria Prezesa Rady Ministrów;16;;0
0016-0001-0002-0002;0016-0001-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;17;;85549
0016-0001-0002-0003;0016-0001-0002;d;Dysponent;Ministerstwo Rozwoju Regionalnego;34;;3969
0016-0001-0002-0004;0016-0001-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0016-0001-0002-0005;0016-0001-0002;d;Dysponent;Wojewodowie;85;;0
0016-0001-0003;0016-0001;c;Podzadanie 16.1.3;Prowadzenie spraw dotyczących obywatelstwa polskiego i repatriacji;;;0
0016-0001-0003-0001;0016-0001-0003;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0016-0001-0003-0002;0016-0001-0003;d;Dysponent;Wojewodowie;85;;0
0016-0001-0004;0016-0001;c;Podzadanie 16.1.4;Wydawanie zezwoleń, koncesji oraz kontrola i nadzór;;;0
0016-0001-0004-0001;0016-0001-0004;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0016-0001-0004-0002;0016-0001-0004;d;Dysponent;Wojewodowie;85;;0
0016-0002;0016;b;Zadanie 16.2;Przeciwdziałanie dyskryminacji, podtrzymywanie tożsamości kulturowej mniejszości narodowych i etnicznych;;;0
0016-0002-0001;0016-0002;c;Podzadanie 16.2.1;Przeciwdziałanie dyskryminacji oraz działania wobec mniejszości narodowych i etnicznych;;;0
0016-0002-0001-0001;0016-0002-0001;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;0
0016-0002-0001-0002;0016-0002-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;43;;0
0016-0002-0001-0003;0016-0002-0001;d;Dysponent;Wojewodowie;85;;0
0016-0002-0002;0016-0002;c;Podzadanie 16.2.2;Wyrównywanie statusu kobiet i mężczyzn w życiu społeczno-gospodarczym;;;0
0016-0002-0002-0001;0016-0002-0002;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;63;;0
0016-0003;0016;b;Zadanie 16.3;Utrzymanie stosunków między Państwem a Kościołem i związkami wyznaniowymi;;;0
0016-0003-0001;0016-0003;c;Podzadanie 16.3.1;Realizacja zadań z zakresu stosunków pomiędzy Państwem a Kościołem;;;0
0016-0003-0001-0001;0016-0003-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;43;;0
0016-0003-0001-0002;0016-0003-0001;d;Dysponent;Wojewodowie;85;;0
0016-0003-0002;0016-0003;c;Podzadanie 16.3.2;Zagwarantowanie prawa do wolności wyznania;;;0
0016-0003-0002-0001;0016-0003-0002;d;Dysponent;Ministerstwo Obrony Narodowej;29;;0
0016-0004;0016;b;Zadanie 16.4;Wspieranie Polonii i Polaków za granicą;;;0
0016-0004-0001;0016-0004;c;Podzadanie 16.4.1;Wspieranie Polonii i Polaków za granicą oraz rozwijanie ich więzi z Polską;;;0
0016-0004-0001-0001;0016-0004-0001;d;Dysponent;Kancelaria Senatu;03;;0
0016-0004-0001-0002;0016-0004-0001;d;Dysponent;Kancelaria Prezesa Rady Ministrów;16;;0
0016-0004-0001-0003;0016-0004-0001;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;0
0016-0004-0001-0004;0016-0004-0001;d;Dysponent;Ministerstwo Nauki i Szkolnictwa Wyższego;38;;0
0016-0004-0001-0005;0016-0004-0001;d;Dysponent;Ministerstwo Spraw Zagranicznych;45;;0
0016-0005;0016;b;Zadanie 16.5;Obsługa cudzoziemców i zarządzanie migracjami;;;1335
0016-0005-0001;0016-0005;c;Podzadanie 16.5.1;Obsługa cudzoziemców;;;1335
0016-0005-0001-0001;0016-0005-0001;d;Dysponent;Kancelaria Prezesa Rady Ministrów;16;;0
