ID;Rodzic;Typ;Nazwa;Numer umowy/decyzji;Program Operacyjny <Nazwa>;Oś priorytetowa <Kod>;Działanie <Kod>;Poddziałanie <Kod>;Wartość ogółem;Wydatki kwalifikowalne;Dofinansowanie;Dofinansowanie UE;Nazwa beneficjenta;NIP beneficjenta;Kod pocztowy;Miejscowość;Województwo;Powiat;Temat priorytetu;Forma prawna;Obszar realizacji;Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu;Projekt zakończony (Wniosek o płatność końcową);Data podpisania Umowy/Aneksu;Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu
20-01-2;20-01;Projekt;Kampania na rzecz ograniczenia szkód wyrządzanych przez zwierzęta prawnie chronione (wilk, żubr, bóbr) na obszarze Zielonych Płuc Polski.;POIS.05.04.00-00-062/08-02;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.04.00;;24,517.71;24,517.71;20,840.06;20,840.06;Fundacja Zielone Płuca Polski;5422952234;15-554;Białystok;Podlaskie;Powiat m. Białystok;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);fundacja;00 Nie dotyczy;POIS.05.04.00-00-062/08-10;Nie;2011/01/12;2011/01/17
20-02;20;Powiat;Powiat białostocki;;;;;;24517.71;24517.71;20840.06;20840.06;;;;;;;;;;;;;
20-02-1;20-02;Projekt;Kampania na rzecz ograniczenia szkód wyrządzanych przez zwierzęta prawnie chronione (wilk, żubr, bóbr) na obszarze Zielonych Płuc Polski.;POIS.05.04.00-00-062/08-02;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.04.00;;24,517.71;24,517.71;20,840.06;20,840.06;Fundacja Zielone Płuca Polski;5422952234;15-554;Białystok;Podlaskie;Powiat m. Białystok;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);fundacja;00 Nie dotyczy;POIS.05.04.00-00-062/08-10;Nie;2011/01/12;2011/01/17
20-05;20;Powiat;Powiat hajnowski;;;;;;24517.71;24517.71;20840.06;20840.06;;;;;;;;;;;;;
20-05-1;20-05;Projekt;Kampania na rzecz ograniczenia szkód wyrządzanych przez zwierzęta prawnie chronione (wilk, żubr, bóbr) na obszarze Zielonych Płuc Polski.;POIS.05.04.00-00-062/08-02;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.04.00;;24,517.71;24,517.71;20,840.06;20,840.06;Fundacja Zielone Płuca Polski;5422952234;15-554;Białystok;Podlaskie;Powiat m. Białystok;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);fundacja;00 Nie dotyczy;POIS.05.04.00-00-062/08-10;Nie;2011/01/12;2011/01/17
20-08;20;Powiat;Powiat moniecki;;;;;;24517.71;24517.71;20840.06;20840.06;;;;;;;;;;;;;
20-08-1;20-08;Projekt;Kampania na rzecz ograniczenia szkód wyrządzanych przez zwierzęta prawnie chronione (wilk, żubr, bóbr) na obszarze Zielonych Płuc Polski.;POIS.05.04.00-00-062/08-02;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.04.00;;24,517.71;24,517.71;20,840.06;20,840.06;Fundacja Zielone Płuca Polski;5422952234;15-554;Białystok;Podlaskie;Powiat m. Białystok;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);fundacja;00 Nie dotyczy;POIS.05.04.00-00-062/08-10;Nie;2011/01/12;2011/01/17
20-09-2;20-09;Projekt;Kampania na rzecz ograniczenia szkód wyrządzanych przez zwierzęta prawnie chronione (wilk, żubr, bóbr) na obszarze Zielonych Płuc Polski.;POIS.05.04.00-00-062/08-02;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.04.00;;24,517.71;24,517.71;20,840.06;20,840.06;Fundacja Zielone Płuca Polski;5422952234;15-554;Białystok;Podlaskie;Powiat m. Białystok;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);fundacja;00 Nie dotyczy;POIS.05.04.00-00-062/08-10;Nie;2011/01/12;2011/01/17
20-11;20;Powiat;Powiat sokólski;;;;;;24517.71;24517.71;20840.06;20840.06;;;;;;;;;;;;;
20-11-1;20-11;Projekt;Kampania na rzecz ograniczenia szkód wyrządzanych przez zwierzęta prawnie chronione (wilk, żubr, bóbr) na obszarze Zielonych Płuc Polski.;POIS.05.04.00-00-062/08-02;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.04.00;;24,517.71;24,517.71;20,840.06;20,840.06;Fundacja Zielone Płuca Polski;5422952234;15-554;Białystok;Podlaskie;Powiat m. Białystok;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);fundacja;00 Nie dotyczy;POIS.05.04.00-00-062/08-10;Nie;2011/01/12;2011/01/17
