"Numer umowy/decyzji";"Tytuł projektu";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Cały kraj/ Województwo";"Powiat";"Gmina";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"POIS.05.03.00-00-285/10-00";"Projekty planów zadań ochronnych dla obszarów Natura 2000 na terenie woj. kujawsko-pomorskiego i mazowieckiego";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.03.00";"";"Kujawsko-pomorskie";"";"";"680,896.09";"680,896.09";"578,761.67";"578,761.67";"Uniwersytet Technologiczno-Przyrodniczy im. J. i J. Śniadeckich";"5540313107";"85-225";"Bydgoszcz";"Kujawsko-pomorskie";"Powiat m. Bydgoszcz";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"uczelnia wyższa";"00 Nie dotyczy";"POIS.05.03.00-00-285/10-01";"Nie";"2011/01/26";"2011/01/28"
"POIS.05.03.00-00-285/10-00";"Projekty planów zadań ochronnych dla obszarów Natura 2000 na terenie woj. kujawsko-pomorskiego i mazowieckiego";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.03.00";"";"Mazowieckie";"";"";"680,896.09";"680,896.09";"578,761.67";"578,761.67";"Uniwersytet Technologiczno-Przyrodniczy im. J. i J. Śniadeckich";"5540313107";"85-225";"Bydgoszcz";"Kujawsko-pomorskie";"Powiat m. Bydgoszcz";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"uczelnia wyższa";"00 Nie dotyczy";"POIS.05.03.00-00-285/10-01";"Nie";"2011/01/26";"2011/01/28"
"POIS.05.04.00-00-054/08-02";"Program edukacji ekologicznej społeczności lokalnej w Bieszczadzkim Parku Narodowym";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.04.00";"";"Podkarpackie";"";"";"436,000.00";"436,000.00";"436,000.00";"370,600.00";"Bieszczadzki Park Narodowy";"6890002420";"38-714";"Ustrzyki Górne";"Podkarpackie";"Powiat bieszczadzki";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"POIS.05.04.00-00-054/08-08";"Nie";"2011/01/14";"2011/02/07"
"POIS.05.04.00-00-068/08-02";"Edukacja-naturalnie! - akcja edukacyjna dla młodzieży szkolnej z obszarów Natura 2000 Polski pn-wsch";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.04.00";"";"Podlaskie";"";"";"123,823.50";"123,823.50";"105,250.00";"105,250.00";"Stowarzyszenie na rzecz Ekorozwoju Agro - Group";"9661252329";"15-472";"Białystok";"Podlaskie";"Powiat m. Białystok";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"stowarzyszenie";"00 Nie dotyczy";"";"";"2011/02/07";"2011/03/18"
"POIS.07.02.00-00-008/09-01";"Krajowy System Bezpieczeństwa Morskiego (KSBM) Etap I";"Program Operacyjny Infrastruktura i Środowisko";"POIS.07.00.00";"POIS.07.02.00";"";"Pomorskie";"";"";"37,221,795.58";"33,756,214.38";"33,756,214.38";"28,692,782.22";"Urząd Morski w Gdyni";"5860014932";"81-338";"Gdynia";"Pomorskie";"Powiat m. Gdynia";"30 Porty";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"";"";"2011/05/05";"2011/05/06"
"POIS.07.02.00-00-008/09-01";"Krajowy System Bezpieczeństwa Morskiego (KSBM) Etap I";"Program Operacyjny Infrastruktura i Środowisko";"POIS.07.00.00";"POIS.07.02.00";"";"Warmińsko-mazurskie";"";"";"37,221,795.58";"33,756,214.38";"33,756,214.38";"28,692,782.22";"Urząd Morski w Gdyni";"5860014932";"81-338";"Gdynia";"Pomorskie";"Powiat m. Gdynia";"30 Porty";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"";"";"2011/05/05";"2011/05/06"
"POIS.07.02.00-00-008/09-01";"Krajowy System Bezpieczeństwa Morskiego (KSBM) Etap I";"Program Operacyjny Infrastruktura i Środowisko";"POIS.07.00.00";"POIS.07.02.00";"";"Zachodniopomorskie";"";"";"37,221,795.58";"33,756,214.38";"33,756,214.38";"28,692,782.22";"Urząd Morski w Gdyni";"5860014932";"81-338";"Gdynia";"Pomorskie";"Powiat m. Gdynia";"30 Porty";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"";"";"2011/05/05";"2011/05/06"
"POIS.12.01.00-00-209/08-01";"Poprawa bezpieczeństwa ludności poprzez dostosowanie infrastruktury ratownictwa medycznego SMS im. G. Narutowicza w Krakowie do wymogów prawa";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"Małopolskie";"";"";"11,516,555.46";"7,092,018.91";"6,028,216.06";"6,028,216.06";"Szpital Miejski Specjalistyczny im. Gabriela Narutowicza w Krakowie";"9451932621";"31-202";"Kraków";"Małopolskie";"Powiat m. Kraków";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"POIS.12.01.00-00-209/08-06";"Nie";"2011/01/17";"2011/01/17"
"POIS.12.01.00-00-227/08-03";"Modernizacja i doposażenie Szpitalnego Oddziału Ratunkowego w Wojewódzkim Szpitalu Podkarpackim im. Jana Pawła II w Krośnie";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"Podkarpackie";"";"";"11,306,580.00";"10,794,200.82";"9,175,070.70";"9,175,070.70";"Wojewódzki Szpital Podkarpacki im. Jana Pawła II w Krośnie";"6842120222";"38-400";"Krosno";"Podkarpackie";"Powiat krośnieński / Powiat m. Krosno";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"POIS.12.01.00-00-227/08-04";"Nie";"2011/01/04";"2011/01/31"
"POIS.12.01.00-00-235/08-01";"Budowa lądowiska dla helikopterów oraz doposażenie Szpitalnego Oddziału Ratunkowego SP ZOZ w Środzie Wielkopolskiej w aparaturę medyczną";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"Wielkopolskie";"";"";"980,240.46";"980,240.46";"833,204.39";"833,204.39";"Powiat Średzki";"7861493746";"63-000";"Środa Wielkopolska";"Wielkopolskie";"Powiat średzki";"76 Infrastruktura ochrony zdrowia";"wspólnota samorządowa";"00 Nie dotyczy";"POIS.12.01.00-00-235/08-02";"Nie";"2011/01/03";"2011/01/04"
